location,lat,lon
ראש פינה,32.9778208,35.5851655
נחל צביה בעמק  בית שאן,31.787604,35.1963061
מערת פער,33.0310083,35.3859111
הטיילת בין כפר חרוב (מצפה השלום) למבוא חמה,,
הר הקפיצה,32.6736277,35.3010187
שביל פסגה בהר מירון,,
פארק רחביה (עמק המצלבה),31.7753065,35.2088872
שביל הפסגה הר מירון,,
רכס בשנית,33.04601225,35.84771569
מצד עתרת - הירדן ההררי,33.00466375,35.62780053
שמורת אלוני אבא,32.73979245,35.16841062
שביל נוף נחל קטלב  - מפגש שבילים אדום שחור.,,
נחל תקוע - מערת חריטון,32.1799825,34.8508381
חוף השרון,32.2167746,34.8224118
תל מלוט,31.856263,34.865334
ליד קניון יפתח,32.139158,34.8448214
ליד המרינה בהרצליה,32.084957,34.789684
מעל גב קינה,31.1975307,35.1672249
החוף הדרומי של אשדוד,31.7969077,34.6308671
פארק הרצליה,32.16814335,34.82259859
כניסה למושב בן זכאי (ביציאה הדרומית מ יבנה),,
באזור נחל לוץ ומצפור ערוד,,
"נחל חיק, 20 מ' לאחר המעיין",32.8833885,35.238487
נחל חיק,32.7220867,35.0438053
הר הלל שביל האדמוניות(שחור) בשמורת הר מירון,,
ליד בית ג'אן שמורת הר מירון,,
מלכישוע,32.4385275,35.4130069
הר שאול,32.535533,35.3754365
אחו בנימינה,,
פארק איילון,31.712723,34.99510769
חורבת בית לויה,31.5639305,34.928463
ארבל,32.8247933,35.4999392
יער קולה,32.0279823,34.96553061
"מדרום למגרש החניה הקטן, בין חורשים לנירית",,
יער חורשים בכנסה לכביש החניון,,
יער חורשים,32.1341123,34.98239361
בשביל הכחול העולה מעין אלון,,
לצד הכביש המוביל לבית אורן (721),,
נחל חצץ,30.890481,34.8720074
חרבת קנובה וחרבת בארית,,
הר ברקן בגלבוע,32.5100616,35.4087714
נחל קטלב,31.7403928,35.0753482
יער להב,31.3667888,34.83852247
עמק גלילות,33.1787718,35.620776
נחל עמוד,32.9361657,35.4762685
פארק בריטניה,31.6888919,34.927992
נחל חצץ לפני העליה למעבר לנחל דרוך.,,
הבניאס,32.6413699,35.0852944
שמורת יקום,,
חורבת סמארה נחל אלכסנדר,,
תל אנפה - גבעת הנרקיסים,31.7411422,34.7432197
שמורת הסטף מסלול מקיף הר איתן המסומן אדום,,
"יער פרו, בתוואי שביל ישראל",,
כביש 3866 מול הכניסה לכביש המוביל למערת הנטיפים,,
יער המלאכים,32.178929,34.860046
שמורת נחל אלכסנדר,32.3756497,34.9146774
הר קטע,30.8750168,34.834897
הר יונה- שמורת האירוס הנצרתי,,
שמורת המסרק,31.7942231,35.04166071
שלוחת איילה,32.6313513,34.9624681
יער הקדושים,31.7706338,35.04190076
"איזור עדולם, איזור לכיש",,
"ליד חרבת מסעד, איזור עדולם",,
דלב,31.7434213,35.1458352
ליד יקנעם,,
נחל דלב,32.59029135,34.91645673
תל אנפה,33.1770946,35.64464307
הר איתן,31.7693086,35.1120788
רמת דלתון - מזרחית לאגם בשטח המרעה,,
מערת התאומים,31.7262328,35.0205163
יער הנשיא - צרעה,31.78209375,34.96820015
נחל צאלים,31.3306001,35.2502127
יער הקדושים -השביל הכחול,,
פארק קנדה,31.528257,34.58600954
נחל ראש פינה,32.9778208,35.5851655
יער צרעה,31.78209375,34.96820015
נחל ספונים ונחל גלים,,
מעגן מיכאל מצפון לבית העלמין,,
מעגן מיכאל צפונית לבית העלמין,,
"""יער המלאכים""",32.178929,34.860046
נחל קטלב - השביל הכחול,,
באר שבע,31.2457442,34.7925181
נגב,31.42081875,34.53362698
שמורת מערת פער - סאסא,33.03140495,35.38572117
נחל מחניים עליון,32.9886405,35.570735
שביל פסגה - הר מירון,31.7458066,34.9970397
חורבת כרך,32.677312,35.0714278
חולות מדרום לאשקלון,,
נחל זוויתן עליון,32.9657725,35.694415
צומת יד מרדכי-אשקלון,31.588885,34.563847
בריכת הנופרים ומקורות הירקון,,
מקורות הירקון - בריכת הנופרים,,
נחל שכם,31.7821828,35.2279731
כרמל,32.7613834,34.9715506
שיפולי חירבת צלית צפון הנגב ליד מיתר,,
"רוגום גנים,קרית יובל ירושלים",31.7662523,35.1746451
יער אודם,33.2282263,35.74726372
גבעות חומרה,31.9351422,34.7430801
שמורת ביצות נוב דרום רמת הגולן,,
נחל סער בדרך למפל רסיסים,,
שמורת שער פולג,32.25857115,34.8396944
תל שוכה עמק האלה מול קיבוץ הל,,
יער נתניה(חורשת הסרג''נטים),32.3047819,34.8788836
שמורת נין דרום הגולן,,
שמורת נוב דרום הגולן,,
שביל האופניים שמתחיל ליד הכניסה לקיבוץ בארי ומוביל גם לבית הקברות,,
צפונית לבית העלמין של מעגן מיכאל,,
"גבעות מיתר צפון הנגב,בין מיתר לחורה",,
על השביל מעל בית העלמין של מיתר,,
חוף פלמחים שפך נחל שורק,,
גבעות נס ציונה,31.934095,34.7870227
הסנפיר הגדול - המכתש הגדול,30.9039727,34.941206
שמורת האירוסים בנתניה,32.2846485,34.84027331
נחל אלכסנדר,32.2373068,34.989744
שמורת נחל פולג,32.26521525,34.83512321
סינגל גברעם,,
גברעם הישנה,,
נווה ירק,32.1333242,34.9242354
מנחת מגידו,32.5941887,35.2369156
מורדות הר תבור,32.6871101,35.3896182
הר תבור,32.6871101,35.3896182
בצד שמאל של כביש הכניסה לכפר יהושע,,
יער חניתה,31.8982809,34.9860362
נחל שיקמה (ליד קיבוץ אור-הנר),,
גברעם,31.5909454,34.6115031
יער שוקדה,31.42626125,34.51243228
עין אלון בנחל אורן,32.7268476,35.0229471
מימין לגדר המערכת מלכישוע,,
חניון הר נדב בגלבוע,,
נחל תבור,32.6640052,35.3942596
גבעת הרקפות רמות מנשה,32.5995997,35.0551126
נחל תאנים בישוב קדומים,,
פי גלילות,32.13655705,34.80366519
גבעת האירוסים נס ציונה,31.9325683,34.7986288
ליד מושב ישעי,32.1568586,34.8028327
חרבת מדרס,,
מנזר בית ג'מאל ליד בית שמש,31.7773954,35.21590463
גבעת ההגנה,32.7431821,35.0360973
שמורת חוף השרון,32.2167746,34.8224118
יובלים,32.8775051,35.2705626
חניון כרמייה,32.92105,35.318874
נחל קדש,33.1140049,35.5725281
נחל כזיב העליה מעין טמיר לחניון הזיתים,,
נחל כזיב,32.9756848,35.3886901
נחל חזורי,33.2511401,35.7314741
שמורת הארבל,32.8228324,35.49025257
נחל דולב,31.7387267,35.0295392
ישראל,30.8124247,34.8594762
נחל גלים,32.7545345,35.001596
עלייה למערת אורנית,31.307772,34.530022
שמורת חלמוניות רכס בוקר,30.9115519,34.75681754
הר חוזק רכס בשנית,,
שביל סובב כנרת בקטע בין כפר נחום לגשר אריק,,
רכס הבשנית,31.220708,34.807144
אחו נוב - חיספין,32.83729,35.7825105
שמורת חלמוניות ירוחם,30.9873582,34.88255119
"נחל ירקעם, כ-300 מ' מזרחית לעין ירקעם",,
צומת דמון,32.7344374,35.0393408
"שביל פסגה, הר מירון",31.7458066,34.9970397
פארק הסלעים כיסרא,,
חיפה  לאורך דרך סטלה מריס,,
"חיפה נחל איזוב ליד מבנים נטושים, האכסניה",,
פארק הסלעים כיסרא - סמיע,,
שמורת עיינות גיבתון,31.8527295,34.86534299
רכס    בשנית  (חזיקה ),33.04601225,35.84771569
רכס  בשנית  (חזיקה ),33.04601225,35.84771569
חוף הצוק הרצליה,32.1409093,34.7900173
חולות צאלים,32.0208907,34.7637803
דרום הכינרת,31.678418,34.570737
תל יודפת,32.085842,34.7747243
צומת יד מרדכי,31.588885,34.563847
חורבת פורה והשמורה,33.1480175,35.75152362
שמורת פורה,31.4966619,34.77526577
רחובות,31.8952532,34.8105616
